BureauID,CustomerID,Score,Rating,ReportMonth
700000,109688,836,B,2025-05-01T00:00:00.000000000
700001,108264,841,B,2022-04-01T00:00:00.000000000
700002,105358,885,A,2023-02-01T00:00:00.000000000
700003,106559,884,A,2024-03-01T00:00:00.000000000
700004,110418,719,C,2022-10-01T00:00:00.000000000
700005,101090,816,B,2023-11-01T00:00:00.000000000
700006,109808,555,D,2025-01-01T00:00:00.000000000
700007,104802,831,B,2024-04-01T00:00:00.000000000
700008,109179,399,E,2025-08-01T00:00:00.000000000
700009,110307,580,D,2023-01-01T00:00:00.000000000
700010,101591,468,E,2024-12-01T00:00:00.000000000
700011,105901,665,C,2024-08-01T00:00:00.000000000
700012,108079,682,C,2025-09-01T00:00:00.000000000
700013,108779,624,D,2025-01-01T00:00:00.000000000
700014,109034,532,E,2022-01-01T00:00:00.000000000
700015,103649,390,E,2022-04-01T00:00:00.000000000
700016,111808,327,E,2022-01-01T00:00:00.000000000
700017,101565,343,E,2023-06-01T00:00:00.000000000
700018,103609,896,A,2023-01-01T00:00:00.000000000
700019,102929,610,D,2024-01-01T00:00:00.000000000
700020,100721,672,C,2023-09-01T00:00:00.000000000
700021,101804,596,D,2023-03-01T00:00:00.000000000
700022,111386,343,E,2025-05-01T00:00:00.000000000
700023,100654,310,E,2025-05-01T00:00:00.000000000
700024,108336,680,C,2022-10-01T00:00:00.000000000
700025,107684,804,B,2024-11-01T00:00:00.000000000
700026,109888,498,E,2022-04-01T00:00:00.000000000
700027,106453,768,B,2022-05-01T00:00:00.000000000
700028,104239,420,E,2025-08-01T00:00:00.000000000
700029,110903,313,E,2025-02-01T00:00:00.000000000
700030,100892,776,B,2025-02-01T00:00:00.000000000
700031,110756,707,C,2023-12-01T00:00:00.000000000
700032,104290,875,A,2023-12-01T00:00:00.000000000
700033,111746,394,E,2025-04-01T00:00:00.000000000
700034,101660,567,D,2023-07-01T00:00:00.000000000
700035,111738,492,E,2023-08-01T00:00:00.000000000
700036,104913,743,C,2024-04-01T00:00:00.000000000
700037,107336,357,E,2025-07-01T00:00:00.000000000
700038,110968,393,E,2022-11-01T00:00:00.000000000
700039,107350,597,D,2023-11-01T00:00:00.000000000
700040,103920,812,B,2023-03-01T00:00:00.000000000
700041,109328,705,C,2023-09-01T00:00:00.000000000
700042,101299,661,C,2024-12-01T00:00:00.000000000
