CollateralID,LoanID,CollateralType,Valuation,LienStatus
400000,9002076,Property,257441.59,Active
400001,9023538,Vehicle,99361.7,Released
400002,9009810,Other,373181.85,Active
400003,9000217,Gold,43408.24,Released
400004,9013460,Property,218086.53,Released
400005,9028434,Property,402116.39,Active
400006,9020549,Deposit,84669.17,Released
400007,9007003,Gold,41175.33,Active
400008,9002998,Vehicle,204132.81,Active
400009,9008065,Vehicle,133694.14,Released
400010,9013608,Deposit,9424.92,Active
400011,9022580,Vehicle,62204.89,Active
400012,9018171,Equipment,250388.89,Active
400013,9007049,Property,257382.96,Active
400014,9018412,Equipment,34870.7,Released
400015,9014733,Vehicle,281006.59,Active
400016,9028680,Property,36285.17,Released
400017,9015488,Property,351859.01,Active
400018,9013333,Other,490504.57,Active
400019,9007584,Equipment,455691.4,Active
400020,9024761,Vehicle,253571.74,Released
400021,9019985,Property,52132.02,Released
400022,9003714,Property,106856.97,Active
400023,9014256,Deposit,269647.38,Active
400024,9002357,Equipment,163071.08,Released
400025,9004064,Vehicle,82723.19,Active
400026,9026409,Equipment,294823.69,Active
400027,9007750,Vehicle,126721.69,Released
400028,9005083,Equipment,468900.92,Active
400029,9026995,Vehicle,262998.18,Released
400030,9005261,Property,181035.06,Released
400031,9001132,Vehicle,116793.06,Released
400032,9023758,Deposit,36422.47,Active
400033,9021545,Vehicle,294238.99,Active
400034,9014802,Property,310084.57,Active
400035,9000546,Property,104323.14,Released
400036,9029583,Gold,366663.47,Active
400037,9001531,Equipment,300671.19,Active
400038,9029275,Property,74261.47,Released
400039,9014322,Vehicle,188670.09,Released
400040,9007296,Equipment,320937.53,Released
400041,9000491,Property,167625.93,Active
400042,9029304,Equipment,243275.08,Active
400043,9019393,Property,102323.9,Active
400044,9005260,Other,293249.56,Active
400045,9026464,Vehicle,410194.65,Active
400046,9010533,Property,295430.15,Active
400047,9005376,Vehicle,109408.33,Active
400048,9023323,Deposit,486368.28,Active
400049,9005057,Property,285624.53,Active
400050,9027745,Vehicle,373203.64,Active
400051,9004181,Property,90624.37,Released
400052,9015964,Property,134990.81,Active
400053,9003830,Property,30208.46,Active
400054,9013756,Vehicle,259586.82,Active
400055,9019284,Other,104643.28,Released
400056,9005191,Property,115796.61,Released
400057,9021266,Equipment,169524.93,Active
400058,9006921,Deposit,287614.0,Active
400059,9023335,Vehicle,21377.06,Active
400060,9007687,Vehicle,137069.15,Active
400061,9004124,Equipment,299526.8,Active
400062,9005052,Vehicle,303263.47,Released
400063,9022118,Deposit,332538.18,Active
400064,9025858,Property,304906.58,Released
400065,9008014,Deposit,64740.09,Active
400066,9014480,Deposit,135470.64,Active
400067,9006211,Deposit,392856.52,Active
400068,9017222,Property,203970.05,Released
400069,9004811,Vehicle,179034.42,Released
400070,9014316,Property,319655.93,Active
400071,9013632,Property,129304.03,Active
400072,9016813,Gold,419437.68,Active
400073,9003290,Property,394372.56,Active
400074,9009336,Property,87863.03,Active
400075,9011132,Vehicle,287154.69,Active
400076,9006065,Vehicle,156047.56,Active
400077,9000710,Vehicle,100557.19,Released
400078,9010182,Property,420151.96,Active
400079,9003492,Gold,147022.36,Active
400080,9021440,Gold,206984.71,Active
400081,9011985,Deposit,288415.87,Released
400082,9025817,Deposit,294201.41,Released
400083,9020098,Property,248936.4,Active
400084,9004461,Gold,138190.29,Active
400085,9000282,Property,47951.45,Released
400086,9006866,Property,128884.92,Released
400087,9009799,Property,151558.02,Active
400088,9020569,Vehicle,305151.9,Active
400089,9003969,Equipment,293736.17,Active
400090,9011584,Property,11929.83,Active
400091,9006470,Vehicle,342761.87,Active
400092,9003871,Other,499107.75,Active
400093,9017932,Property,55409.55,Active
400094,9027482,Property,349385.73,Active
400095,9003604,Property,143258.76,Active
400096,9003402,Deposit,46341.06,Active
400097,9008389,Gold,218180.3,Active
400098,9026896,Vehicle,342363.13,Released
400099,9011364,Deposit,179944.25,Active
400100,9021712,Property,18934.22,Active
400101,9029069,Property,405838.73,Active
400102,9014789,Vehicle,245933.17,Active
400103,9018455,Property,170843.88,Released
400104,9019539,Property,365769.67,Active
400105,9018630,Property,456656.19,Active
400106,9008262,Property,224728.81,Active
400107,9024742,Vehicle,199129.98,Active
400108,9011821,Vehicle,258754.54,Released
400109,9009724,Vehicle,88461.92,Active
400110,9016947,Other,346637.17,Active
400111,9013005,Property,275854.87,Active
400112,9027978,Vehicle,264317.04,Active
400113,9004572,Property,53410.21,Released
400114,9018702,Deposit,319826.1,Released
400115,9029933,Vehicle,485464.88,Active
400116,9028368,Equipment,55885.73,Active
400117,9023581,Property,423705.55,Active
400118,9023744,Vehicle,339248.58,Active
400119,9009613,Property,337052.9,Active
400120,9015347,Vehicle,299095.92,Released
400121,9029241,Vehicle,343292.49,Active
400122,9011530,Vehicle,419883.82,Active
400123,9013348,Vehicle,97900.21,Active
400124,9019440,Vehicle,464024.87,Active
400125,9009213,Equipment,83290.7,Released
400126,9005506,Other,39672.95,Active
400127,9007811,Vehicle,8236.47,Active
400128,9002096,Vehicle,110609.46,Active
400129,9022832,Vehicle,388253.67,Active
400130,9019217,Vehicle,237737.19,Active
400131,9023862,Vehicle,240710.19,Active
400132,9002282,Vehicle,270233.97,Active
400133,9013515,Deposit,190216.57,Active
400134,9026165,Vehicle,216302.81,Released
400135,9005756,Property,148744.11,Active
400136,9024272,Property,392762.07,Active
400137,9026928,Equipment,395091.32,Active
400138,9017409,Property,154739.48,Released
400139,9022469,Property,101010.43,Active
400140,9021232,Vehicle,20622.6,Active
400141,9029524,Property,403428.93,Active
400142,9018930,Property,133737.87,Released
400143,9013934,Vehicle,412546.06,Released
400144,9001949,Equipment,395693.56,Active
400145,9015270,Gold,282735.07,Released
400146,9000520,Property,451254.94,Active
400147,9029202,Property,301030.96,Active
400148,9017251,Property,102090.86,Active
400149,9027981,Property,236814.61,Released
400150,9003692,Property,422500.72,Active
400151,9009675,Equipment,374625.86,Active
400152,9007834,Vehicle,388566.53,Active
400153,9010715,Property,258247.95,Active
400154,9023931,Equipment,79927.24,Released
400155,9025112,Property,267619.17,Active
400156,9009286,Vehicle,232259.44,Released
400157,9019425,Vehicle,108563.77,Active
400158,9017361,Other,316883.62,Active
400159,9017755,Deposit,343999.5,Active
400160,9025432,Deposit,474284.53,Active
400161,9024578,Property,231595.62,Active
400162,9002081,Deposit,357685.45,Active
400163,9022040,Gold,293936.45,Released
400164,9021733,Vehicle,345952.91,Active
400165,9006439,Gold,382323.04,Active
400166,9021325,Gold,88218.55,Active
400167,9028622,Gold,137847.1,Active
400168,9028494,Deposit,64341.57,Released
400169,9025797,Property,112715.13,Released
400170,9016089,Property,277784.64,Released
400171,9010496,Vehicle,388219.6,Active
400172,9028803,Gold,177669.47,Active
400173,9018101,Property,117253.02,Active
400174,9001210,Vehicle,368437.15,Active
400175,9024542,Property,347854.78,Released
400176,9022270,Gold,201001.2,Active
400177,9019616,Property,286195.26,Released
400178,9025655,Other,364142.76,Active
400179,9011202,Gold,472043.4,Active
400180,9014436,Equipment,137185.18,Active
400181,9007836,Equipment,111981.17,Released
400182,9005757,Equipment,313709.35,Active
400183,9008564,Vehicle,106505.15,Active
400184,9022275,Vehicle,369426.21,Active
400185,9004279,Gold,474923.19,Active
400186,9005144,Property,98441.32,Released
400187,9002122,Gold,390554.19,Active
400188,9015683,Deposit,183799.19,Active
400189,9029939,Property,34625.84,Active
400190,9002583,Deposit,358354.92,Active
400191,9029786,Vehicle,28879.73,Active
400192,9018126,Vehicle,233261.35,Active
400193,9008327,Property,22649.91,Released
400194,9013350,Deposit,304172.5,Active
400195,9014506,Equipment,89039.1,Released
400196,9015312,Gold,130461.01,Active
400197,9025404,Vehicle,35303.95,Active
400198,9008078,Property,339399.66,Released
400199,9003813,Vehicle,291920.42,Active
400200,9029006,Equipment,113673.77,Released
400201,9022545,Property,371128.42,Active
400202,9025102,Property,259686.37,Active
400203,9011627,Vehicle,366901.09,Active
400204,9022271,Equipment,357703.05,Released
400205,9024949,Deposit,458667.06,Released
400206,9003891,Vehicle,64792.12,Active
400207,9003687,Vehicle,386453.04,Released
400208,9006000,Property,291092.29,Released
400209,9025584,Vehicle,464884.09,Active
400210,9029976,Gold,81299.31,Active
400211,9002895,Property,196565.91,Active
400212,9025944,Equipment,287952.7,Active
400213,9020472,Property,225195.25,Active
400214,9025402,Property,152194.78,Released
400215,9013360,Equipment,276598.88,Active
400216,9029567,Property,456371.24,Active
400217,9007880,Property,278182.27,Released
400218,9006664,Property,81016.98,Released
400219,9012900,Equipment,412075.82,Active
400220,9008674,Property,42366.9,Active
400221,9022114,Vehicle,126592.36,Active
400222,9010643,Vehicle,127540.85,Released
400223,9001438,Property,306994.03,Active
400224,9021958,Property,369422.67,Released
400225,9011171,Vehicle,64012.85,Active
400226,9005523,Property,85815.52,Active
400227,9022732,Equipment,471155.4,Active
400228,9027364,Property,294565.76,Active
400229,9015041,Property,40145.03,Active
400230,9020968,Property,79985.45,Active
400231,9023415,Property,43563.53,Active
400232,9015043,Property,200901.99,Released
400233,9022942,Equipment,418267.13,Active
400234,9002250,Vehicle,358186.27,Active
400235,9027844,Property,485708.4,Active
400236,9010625,Property,371929.35,Active
400237,9028491,Other,357860.96,Active
