EventID,LoanID,EventDate,DPD,ActionType,PTP_Flag,PaymentAmount,AgentID
20000000,9016796,2020-10-25,30,Call,1,859.75,1034
20000001,9002110,2022-10-14,30,SMS,0,0.0,1041
20000002,9015202,2024-09-19,0,SMS,1,816.97,1019
20000003,9004829,2023-10-25,0,Call,1,265.06,1080
20000004,9024109,2024-08-24,0,SMS,1,137.07,1042
20000005,9008609,2021-02-18,120,FieldVisit,0,0.0,1054
20000006,9018771,2024-02-15,0,Call,0,0.0,1053
20000007,9011369,2022-01-25,0,FieldVisit,0,0.0,1093
20000008,9006030,2021-06-23,30,Call,0,0.0,1027
20000009,9008057,2021-07-07,30,Call,0,0.0,1040
20000010,9026953,2024-09-22,0,Call,0,0.0,1073
20000011,9005356,2024-01-07,0,FieldVisit,0,0.0,1064
20000012,9016663,2024-07-09,90,SMS,1,309.66,1086
20000013,9002897,2020-07-14,0,Call,0,0.0,1001
20000014,9012674,2024-09-02,0,FieldVisit,0,0.0,1069
20000015,9029723,2021-10-03,0,FieldVisit,1,201.78,1023
20000016,9015281,2021-04-06,0,Email,0,0.0,1050
20000017,9015947,2020-07-20,30,Call,0,0.0,1006
20000018,9010976,2023-04-20,0,FieldVisit,0,0.0,1032
20000019,9015280,2021-04-15,30,SMS,0,0.0,1099
20000020,9001705,2025-04-26,60,Email,1,892.32,1098
20000021,9025346,2023-04-25,0,Call,0,0.0,1059
20000022,9027296,2023-05-03,90,SMS,0,0.0,1058
20000023,9021207,2021-05-08,60,Call,1,699.69,1042
20000024,9004352,2023-08-05,0,Call,0,0.0,1083
20000025,9012082,2020-06-25,30,Call,1,928.87,1091
20000026,9020860,2024-11-10,0,Call,1,528.29,1086
20000027,9012777,2020-05-28,0,Call,0,0.0,1068
20000028,9011213,2022-04-09,90,SMS,1,325.69,1021
20000029,9027272,2023-07-28,30,Email,0,0.0,1070
20000030,9021730,2021-01-16,0,Call,0,0.0,1006
20000031,9007695,2022-09-19,60,Call,1,910.16,1047
20000032,9021704,2025-02-21,0,Call,1,811.57,1075
20000033,9010955,2023-02-22,120,Email,1,934.02,1024
20000034,9014750,2024-01-27,30,FieldVisit,0,0.0,1044
20000035,9011568,2023-09-06,0,Email,1,115.21,1002
20000036,9000773,2022-12-20,30,SMS,1,308.31,1076
20000037,9029542,2024-12-29,30,Call,0,0.0,1019
20000038,9014451,2021-12-30,0,Email,0,0.0,1082
20000039,9007965,2022-11-10,30,LegalNotice,1,769.01,1072
20000040,9017900,2020-05-23,30,Email,0,0.0,1036
20000041,9025450,2023-03-15,0,Call,1,563.66,1095
20000042,9019116,2025-07-28,0,SMS,0,0.0,1046
20000043,9022627,2023-07-16,90,Call,1,837.29,1030
20000044,9009048,2024-04-15,0,FieldVisit,0,0.0,1050
20000045,9024755,2025-08-24,30,SMS,0,0.0,1042
20000046,9011548,2023-04-14,60,FieldVisit,0,0.0,1076
20000047,9004214,2021-01-13,0,Email,0,0.0,1075
20000048,9013269,2023-08-23,60,Email,0,0.0,1095
20000049,9024131,2024-08-05,30,Call,0,0.0,1047
20000050,9013415,2021-06-01,0,Call,0,0.0,1042
20000051,9011464,2022-08-13,0,Email,1,556.74,1001
20000052,9018516,2023-05-18,0,FieldVisit,0,0.0,1034
20000053,9023278,2023-05-30,30,Call,0,0.0,1001
20000054,9000487,2021-05-09,60,Call,1,808.06,1038
20000055,9013578,2024-08-06,0,Call,0,0.0,1034
20000056,9014924,2021-03-31,0,Call,1,190.05,1047
20000057,9016531,2023-07-20,30,Call,0,0.0,1070
20000058,9028745,2020-08-29,0,Call,0,0.0,1091
20000059,9015544,2023-11-03,0,Call,0,0.0,1041
20000060,9013526,2022-01-18,90,SMS,0,0.0,1089
20000061,9028255,2020-09-07,90,Call,0,0.0,1016
20000062,9015063,2025-04-11,0,LegalNotice,1,822.98,1064
20000063,9005547,2024-08-07,180,FieldVisit,1,707.45,1079
20000064,9012938,2023-02-15,0,Call,1,655.82,1027
20000065,9027621,2024-01-21,30,FieldVisit,1,416.75,1024
20000066,9012159,2024-05-25,30,LegalNotice,1,699.54,1099
20000067,9006048,2022-02-10,120,Call,1,519.33,1039
20000068,9024794,2020-05-20,90,SMS,0,0.0,1002
20000069,9025914,2023-09-29,30,Call,0,0.0,1084
20000070,9025302,2023-11-04,120,FieldVisit,1,728.73,1000
20000071,9003308,2025-05-05,0,Email,1,133.76,1027
20000072,9010486,2022-12-25,60,Call,1,567.31,1040
20000073,9005168,2024-08-11,0,LegalNotice,1,768.78,1048
20000074,9009742,2024-10-28,60,SMS,0,0.0,1097
20000075,9022505,2021-05-18,60,SMS,1,654.19,1060
20000076,9004994,2020-05-15,30,SMS,1,187.61,1042
20000077,9007618,2024-08-14,0,FieldVisit,1,613.92,1017
20000078,9011224,2023-11-02,0,Email,1,514.8,1042
20000079,9003413,2023-06-22,60,SMS,1,300.22,1012
20000080,9000138,2024-08-06,0,SMS,1,728.15,1048
20000081,9027210,2021-11-17,0,Call,0,0.0,1068
20000082,9000950,2024-01-04,0,FieldVisit,1,592.71,1009
20000083,9005639,2023-01-23,60,Call,0,0.0,1054
20000084,9022564,2022-10-24,0,SMS,0,0.0,1007
20000085,9014867,2024-09-21,0,Call,0,0.0,1093
20000086,9019711,2025-03-22,30,Call,0,0.0,1093
20000087,9027250,2025-01-29,30,SMS,1,198.14,1020
20000088,9027669,2025-04-16,0,SMS,0,0.0,1070
20000089,9029241,2020-06-05,60,SMS,0,0.0,1070
20000090,9024493,2025-03-08,30,SMS,0,0.0,1044
20000091,9014959,2025-05-16,60,Call,0,0.0,1054
20000092,9002762,2021-01-02,0,SMS,0,0.0,1090
20000093,9028257,2022-06-02,60,SMS,1,835.15,1010
20000094,9018465,2024-09-26,60,Call,1,327.5,1022
20000095,9019633,2023-06-09,60,Call,1,655.86,1062
20000096,9001070,2021-08-17,0,Email,0,0.0,1063
20000097,9003543,2024-06-30,60,Call,1,571.4,1074
20000098,9007042,2020-03-17,0,Call,0,0.0,1055
20000099,9009117,2023-09-02,90,FieldVisit,1,564.04,1036
20000100,9027414,2024-09-04,0,Call,0,0.0,1001
20000101,9026176,2025-05-08,0,Call,0,0.0,1069
20000102,9010001,2021-11-18,0,Email,1,912.49,1063
20000103,9023268,2023-06-11,0,Call,1,689.85,1051
20000104,9007603,2022-08-14,30,Call,0,0.0,1011
20000105,9005058,2023-03-06,0,LegalNotice,0,0.0,1019
20000106,9013818,2023-10-29,60,Call,0,0.0,1026
20000107,9001495,2020-04-30,30,Call,0,0.0,1015
20000108,9002072,2023-12-15,0,Call,0,0.0,1080
20000109,9013057,2021-02-08,0,Call,0,0.0,1004
20000110,9022713,2020-10-17,0,Email,1,505.74,1027
20000111,9004309,2022-11-22,0,Call,1,421.63,1090
20000112,9009288,2020-12-28,0,FieldVisit,0,0.0,1017
20000113,9010102,2020-03-19,0,SMS,1,421.26,1079
20000114,9007221,2022-12-16,30,Call,0,0.0,1087
20000115,9008847,2023-09-22,0,Call,1,984.42,1086
20000116,9014890,2023-07-31,30,SMS,0,0.0,1071
20000117,9005736,2020-02-20,30,FieldVisit,1,352.94,1010
20000118,9025259,2022-11-05,60,SMS,0,0.0,1037
20000119,9028687,2024-10-12,0,Call,1,299.71,1029
20000120,9023046,2020-08-23,60,SMS,1,416.73,1011
20000121,9001178,2025-07-25,0,Call,0,0.0,1033
20000122,9016145,2024-04-03,0,Email,1,964.01,1061
20000123,9010374,2022-12-24,30,Email,0,0.0,1088
20000124,9013653,2020-02-26,30,Call,1,625.88,1087
20000125,9020540,2021-03-03,120,Call,0,0.0,1018
20000126,9019133,2022-01-09,0,FieldVisit,0,0.0,1089
20000127,9014653,2023-07-17,0,SMS,0,0.0,1035
20000128,9020748,2021-12-16,30,Call,0,0.0,1085
20000129,9014650,2025-03-20,90,Call,1,620.37,1011
20000130,9004306,2020-11-15,30,Email,0,0.0,1090
20000131,9012185,2024-08-13,60,Call,0,0.0,1063
20000132,9026620,2021-07-06,30,SMS,0,0.0,1064
20000133,9007184,2022-12-11,30,Call,1,666.03,1094
20000134,9023440,2022-06-07,0,Email,0,0.0,1011
20000135,9020734,2020-07-04,0,SMS,0,0.0,1044
20000136,9022031,2020-07-31,90,Email,0,0.0,1010
20000137,9015096,2025-07-01,0,Email,0,0.0,1051
20000138,9010680,2021-02-24,60,SMS,1,389.86,1078
20000139,9005117,2022-06-22,90,SMS,1,360.56,1017
20000140,9025356,2022-07-11,90,Email,1,720.32,1016
20000141,9024772,2023-12-13,120,Email,1,602.89,1022
20000142,9026849,2022-07-30,0,Email,1,395.24,1055
20000143,9025618,2025-07-14,90,Email,0,0.0,1081
20000144,9026588,2022-06-17,30,Email,1,551.41,1041
20000145,9022108,2024-12-06,180,Email,0,0.0,1093
20000146,9026586,2021-09-17,90,FieldVisit,0,0.0,1066
20000147,9015435,2025-07-31,30,SMS,0,0.0,1057
20000148,9001781,2022-09-07,90,Email,0,0.0,1064
20000149,9024695,2021-11-25,0,LegalNotice,0,0.0,1049
20000150,9028152,2024-06-15,60,Call,0,0.0,1082
20000151,9018997,2023-11-14,30,SMS,0,0.0,1034
20000152,9008644,2025-04-29,60,Call,0,0.0,1059
20000153,9029116,2023-12-16,90,SMS,0,0.0,1044
20000154,9017373,2022-03-05,30,FieldVisit,1,528.34,1075
20000155,9027568,2023-05-17,30,Email,1,409.47,1060
20000156,9001948,2020-08-15,0,Email,1,438.27,1062
20000157,9029626,2022-03-19,30,Call,0,0.0,1044
20000158,9027670,2021-05-07,0,SMS,1,664.32,1019
20000159,9016316,2022-07-19,60,Call,0,0.0,1013
20000160,9008313,2020-07-24,30,Call,0,0.0,1067
20000161,9019188,2022-05-03,0,FieldVisit,1,550.01,1006
20000162,9013551,2022-02-23,0,SMS,0,0.0,1019
20000163,9014442,2021-03-22,0,Call,1,912.53,1033
20000164,9012868,2023-06-13,90,Email,1,799.59,1071
20000165,9016687,2024-01-09,90,Call,0,0.0,1030
20000166,9012525,2021-06-24,60,SMS,1,864.19,1005
20000167,9009987,2025-09-01,0,SMS,0,0.0,1020
20000168,9018186,2022-07-28,60,FieldVisit,0,0.0,1053
20000169,9011178,2022-09-04,30,SMS,1,890.49,1046
20000170,9000269,2023-08-26,0,Call,1,413.53,1020
20000171,9017775,2025-02-02,90,Email,0,0.0,1042
20000172,9001123,2020-05-21,0,Call,0,0.0,1015
20000173,9006327,2020-11-23,0,Call,0,0.0,1056
20000174,9006220,2020-02-18,0,Call,0,0.0,1040
20000175,9006879,2021-07-05,30,SMS,0,0.0,1077
20000176,9004273,2022-09-21,30,SMS,0,0.0,1018
20000177,9008381,2025-03-20,90,Call,0,0.0,1068
