LoanID,CustomerID,ProductID,RegionID,OriginationDate,APR,TenorMonths,OriginationAmount,CurrentBalance,Status,InterestType,RepaymentFrequency,RiskBand,Channel,CollateralizedFlag,WriteOffFlag,ClosedDate,LastPaymentDate,Currency
9000000,107270,511,3124,2022-07-20,26.8,9,1619.22,9.45,Closed,Fixed,Biweekly,A,Partner,0,0,2025-08-08,2025-08-08,USD
9000001,100860,507,3134,2024-03-24,11.84,14,4187.09,32.81,Closed,Variable,Monthly,B,Branch,0,0,2025-09-14,2025-09-14,GBP
9000002,105390,505,3112,2020-02-13,17.86,76,106667.25,381.5,Closed,Fixed,Monthly,C,Mobile,1,0,2020-08-26,2020-08-26,USD
9000003,105191,523,3007,2025-03-27,23.35,9,18028.16,6638.8,Active,Variable,Monthly,D,Branch,0,0,,2025-09-22,INR
9000004,111964,518,3107,2023-05-11,11.56,43,32763.18,125.55,Closed,Fixed,Monthly,B,Partner,1,0,2025-09-28,2025-09-28,INR
9000005,111284,500,3125,2024-06-11,23.41,20,35765.73,8390.24,Active,Fixed,Monthly,B,Online,0,0,,2025-04-21,USD
9000006,105734,512,3125,2020-02-10,39.34,0,13149.72,5482.93,Active,Variable,Monthly,C,Branch,0,0,,2020-03-31,EUR
9000007,106265,521,3027,2024-11-05,21.17,14,9114.86,2850.21,Active,Fixed,Monthly,B,Partner,0,0,,2025-04-20,USD
9000008,100466,515,3033,2024-05-09,12.22,7,1315.49,26.31,Active,Fixed,Biweekly,E,Branch,0,0,,2024-10-03,INR
9000009,104426,517,3095,2021-11-15,11.54,44,81645.15,4082.26,Delinquent,Fixed,Biweekly,B,Online,1,0,,2024-05-24,INR
9000010,105578,511,3021,2023-04-10,23.55,15,920.73,92.07,WrittenOff,Fixed,Monthly,C,Branch,0,1,,2024-01-25,INR
9000011,111636,504,3123,2025-05-29,7.98,90,8489.56,8015.95,Active,Fixed,Monthly,C,Branch,0,0,,2025-09-25,USD
9000012,111363,520,3147,2020-06-07,15.94,32,49500.68,990.01,Active,Variable,Monthly,C,Online,0,0,,2020-10-27,INR
9000013,111111,512,3141,2021-11-12,22.48,0,8017.22,448.9,Closed,Fixed,Biweekly,B,Partner,0,0,2025-08-26,2025-08-26,USD
9000014,108322,507,3066,2022-12-01,10.09,21,3410.09,68.2,Active,Fixed,Monthly,D,Online,0,0,,2024-07-22,USD
9000015,101685,505,3146,2022-06-17,10.44,69,34489.15,13798.63,Active,Fixed,Monthly,D,Branch,1,0,,2025-02-21,EUR
9000016,100769,502,3077,2025-04-25,10.51,48,6763.23,123.13,Closed,Fixed,Monthly,C,Partner,1,0,2025-09-17,2025-09-17,EUR
9000017,110583,519,3038,2022-02-08,10.09,71,22962.17,8128.9,Active,Fixed,Monthly,B,Online,1,0,,2022-06-08,INR
9000018,106949,503,3098,2024-12-26,7.47,117,410183.62,367432.91,Active,Fixed,Monthly,C,Online,1,0,,2025-09-20,USD
9000019,102433,511,3128,2025-03-14,25.9,19,280.71,231.89,Delinquent,Fixed,Monthly,A,Branch,0,0,,2025-09-21,USD
9000020,105311,512,3018,2025-03-04,40.17,0,17096.29,7588.78,Active,Variable,Monthly,C,Online,0,0,,2025-09-27,INR
9000021,105051,501,3014,2024-06-06,41.15,0,7039.82,4245.96,Active,Fixed,Monthly,C,Branch,0,0,,2025-09-24,EUR
9000022,106420,518,3000,2021-08-03,11.94,31,40238.11,804.76,Active,Fixed,Monthly,E,Branch,1,0,,2023-09-30,USD
9000023,101184,503,3030,2025-02-17,8.47,314,429859.46,555554.04,WrittenOff,Fixed,Monthly,C,Partner,1,1,,2025-08-08,USD
9000024,104555,522,3085,2022-03-07,11.38,11,5393.02,269.65,Delinquent,Variable,Monthly,B,Online,0,0,,2023-01-11,USD
9000025,103385,512,3049,2020-06-27,39.86,0,6129.58,360.41,Closed,Variable,Monthly,A,Online,0,0,2023-01-04,2023-01-04,EUR
9000026,106396,518,3019,2022-12-10,10.03,63,7947.33,89.02,Closed,Variable,Monthly,B,Branch,1,0,2025-08-03,2025-08-03,EUR
9000027,111096,507,3104,2022-01-02,15.95,23,2107.32,42.15,Active,Fixed,Monthly,B,Online,0,0,,2022-07-15,EUR
9000028,108666,507,3042,2020-07-30,13.93,14,13865.76,277.32,Active,Fixed,Monthly,A,Branch,0,0,,2020-09-03,INR
9000029,109274,515,3004,2023-05-05,8.19,18,685.1,13.7,Active,Fixed,Monthly,E,Online,0,0,,2024-06-19,INR
9000030,102558,510,3065,2025-06-29,15.59,0,143608.44,96651.62,Active,Variable,Biweekly,C,Branch,1,0,,2025-09-22,INR
9000031,107849,517,3139,2023-06-17,10.16,45,88713.43,39871.54,Active,Fixed,Monthly,E,Branch,1,0,,2025-09-01,INR
9000032,102047,503,3127,2025-01-29,5.7,133,317866.99,293495.76,Active,Variable,Monthly,B,Mobile,1,0,,2025-09-11,INR
9000033,102747,523,3070,2022-08-29,21.92,16,26292.16,1.61,Closed,Variable,Monthly,C,Branch,0,0,2025-08-13,2025-08-13,USD
9000034,109167,500,3065,2022-03-08,16.65,24,5053.61,101.07,Active,Fixed,Monthly,C,Partner,0,0,,2023-06-18,USD
9000035,109998,500,3072,2023-02-27,17.23,52,15611.63,254.49,Closed,Fixed,Monthly,B,Branch,0,0,2025-04-19,2025-04-19,EUR
9000036,100189,513,3078,2021-01-25,6.6,29,14630.77,292.62,Active,Variable,Monthly,B,Online,1,0,,2021-03-29,USD
9000037,102734,503,3018,2022-01-08,9.51,90,33897.77,18658.02,Active,Variable,Monthly,B,Branch,1,0,,2023-05-24,INR
9000038,103005,510,3012,2022-09-02,17.91,0,137814.01,124761.37,Active,Fixed,Monthly,A,Online,1,0,,2024-04-03,INR
9000039,104658,517,3044,2020-02-04,8.87,104,11112.56,4223.56,Active,Fixed,Monthly,B,Branch,1,0,,2025-09-14,EUR
9000040,101899,515,3005,2020-09-21,8.31,20,668.86,13.38,Active,Fixed,Monthly,C,Partner,0,0,,2020-11-17,INR
9000041,107734,516,3128,2024-05-24,8.35,34,13446.09,185.54,Closed,Fixed,Monthly,B,Branch,1,0,2025-08-02,2025-08-02,GBP
9000042,101267,523,3105,2023-08-29,13.31,18,12350.24,3.25,Closed,Fixed,Monthly,B,Branch,0,0,2025-08-29,2025-08-29,EUR
9000043,101528,501,3120,2022-10-04,40.46,0,9541.23,296.22,Closed,Fixed,Monthly,D,Online,0,0,2024-09-22,2024-09-22,USD
9000044,111394,503,3024,2023-05-17,7.98,259,38980.81,34093.05,Active,Fixed,Biweekly,B,Branch,1,0,,2025-09-22,EUR
9000045,103556,502,3140,2023-10-29,9.58,30,48409.44,9653.56,Active,Fixed,Monthly,C,Partner,1,0,,2025-09-07,USD
9000046,103890,514,3018,2023-11-01,10.62,0,37109.63,23864.44,Active,Fixed,Monthly,B,Branch,0,0,,2025-09-18,USD
9000047,108838,501,3137,2022-04-21,28.58,0,3847.96,2594.7,Active,Variable,Monthly,C,Branch,0,0,,2024-04-25,EUR
9000048,111080,523,3070,2023-04-10,12.8,23,5116.97,65.09,Closed,Fixed,Biweekly,C,Online,0,0,2025-09-27,2025-09-27,GBP
9000049,105393,518,3014,2020-11-03,6.98,43,47908.88,958.18,Active,Fixed,Monthly,B,Partner,1,0,,2023-11-30,INR
9000050,110627,508,3106,2024-10-15,9.56,31,5325.41,3171.33,Active,Fixed,Biweekly,B,Online,0,0,,2025-09-13,INR
9000051,108792,509,3125,2021-09-18,8.49,230,82499.47,1524.1,Closed,Variable,Biweekly,D,Online,1,0,2024-03-02,2024-03-02,INR
9000052,110555,520,3135,2021-11-25,10.39,45,35120.69,702.41,Active,Variable,Weekly,C,Partner,0,0,,2025-01-26,INR
9000053,110253,518,3029,2021-08-20,11.5,82,35766.3,14590.83,Active,Fixed,Monthly,D,Mobile,1,0,,2024-05-01,GBP
9000054,108433,504,3097,2025-05-09,6.44,53,10474.84,9867.97,Active,Fixed,Biweekly,A,Partner,0,0,,2025-09-29,INR
9000055,110233,513,3096,2020-08-23,11.77,49,20518.82,315.37,Closed,Fixed,Monthly,C,Mobile,1,0,2023-07-21,2023-07-21,EUR
9000056,111016,509,3000,2020-10-11,11.56,206,93510.69,63489.93,Active,Variable,Biweekly,A,Branch,1,0,,2025-09-13,USD
9000057,107513,515,3015,2020-02-11,19.58,22,902.46,18.05,Active,Variable,Monthly,B,Branch,0,0,,2021-09-25,USD
