RegionID,Country,Region,Branch,Zone
3000,Canada,North,BR000,Urban
3001,Canada,East,BR001,Urban
3002,India,South,BR002,Metro
3003,USA,Central,BR003,Urban
3004,France,West,BR004,Urban
3005,USA,North,BR005,Urban
3006,India,Central,BR006,Metro
3007,USA,Central,BR007,Urban
3008,Canada,Central,BR008,Rural
3009,India,West,BR009,Metro
3010,Germany,North,BR010,Urban
3011,Canada,West,BR011,Rural
3012,Germany,South,BR012,Urban
3013,Germany,North,BR013,Urban
3014,UK,North,BR014,Rural
3015,Germany,Central,BR015,Rural
3016,USA,West,BR016,Metro
3017,USA,West,BR017,Urban
3018,France,East,BR018,Metro
3019,France,East,BR019,Metro
3020,India,North,BR020,Urban
3021,Canada,South,BR021,Rural
3022,USA,South,BR022,Urban
3023,UK,East,BR023,Rural
3024,Canada,East,BR024,Urban
3025,Germany,East,BR025,Urban
3026,Canada,East,BR026,Metro
3027,Canada,North,BR027,Metro
3028,Canada,South,BR028,Metro
3029,Canada,South,BR029,Urban
3030,UK,West,BR030,Rural
3031,Canada,Central,BR031,Urban
3032,Canada,East,BR032,Urban
3033,India,North,BR033,Rural
3034,UK,East,BR034,Urban
3035,India,Central,BR035,Metro
3036,Germany,South,BR036,Metro
3037,UK,West,BR037,Metro
3038,UK,South,BR038,Rural
3039,India,South,BR039,Metro
3040,France,Central,BR040,Rural
3041,Canada,Central,BR041,Rural
3042,France,West,BR042,Rural
3043,India,South,BR043,Metro
3044,UK,North,BR044,Urban
3045,USA,South,BR045,Metro
3046,India,West,BR046,Metro
3047,USA,West,BR047,Rural
3048,France,West,BR048,Metro
3049,Germany,Central,BR049,Urban
3050,Canada,North,BR050,Metro
3051,France,East,BR051,Metro
3052,Germany,North,BR052,Rural
3053,UK,South,BR053,Rural
3054,USA,East,BR054,Metro
3055,India,Central,BR055,Urban
3056,Canada,East,BR056,Metro
3057,France,Central,BR057,Urban
3058,India,East,BR058,Urban
3059,France,Central,BR059,Urban
3060,France,East,BR060,Rural
3061,USA,North,BR061,Rural
3062,Germany,South,BR062,Urban
3063,India,Central,BR063,Urban
3064,USA,West,BR064,Urban
3065,France,South,BR065,Urban
3066,Canada,West,BR066,Metro
3067,India,East,BR067,Metro
3068,France,West,BR068,Urban
3069,France,South,BR069,Metro
3070,Germany,West,BR070,Metro
3071,Canada,East,BR071,Rural
3072,France,West,BR072,Urban
3073,India,South,BR073,Urban
3074,Germany,North,BR074,Metro
3075,France,South,BR075,Metro
3076,India,North,BR076,Urban
3077,Canada,North,BR077,Urban
3078,USA,North,BR078,Rural
3079,USA,Central,BR079,Urban
3080,Germany,West,BR080,Urban
3081,France,South,BR081,Metro
3082,France,Central,BR082,Rural
3083,India,West,BR083,Rural
3084,India,North,BR084,Urban
3085,Canada,West,BR085,Rural
3086,UK,West,BR086,Rural
3087,Canada,North,BR087,Metro
3088,Canada,North,BR088,Urban
3089,UK,East,BR089,Urban
3090,India,South,BR090,Urban
3091,France,West,BR091,Urban
3092,UK,South,BR092,Rural
3093,UK,South,BR093,Urban
3094,UK,Central,BR094,Urban
3095,USA,Central,BR095,Urban
3096,USA,South,BR096,Urban
3097,UK,West,BR097,Rural
3098,India,West,BR098,Urban
3099,India,West,BR099,Urban
3100,UK,East,BR100,Rural
3101,Germany,West,BR101,Metro
3102,Canada,Central,BR102,Metro
3103,Canada,West,BR103,Urban
3104,India,East,BR104,Urban
3105,USA,Central,BR105,Metro
3106,France,North,BR106,Metro
3107,Germany,North,BR107,Urban
3108,France,West,BR108,Metro
3109,France,South,BR109,Urban
3110,France,North,BR110,Urban
3111,USA,Central,BR111,Urban
3112,Canada,South,BR112,Rural
3113,USA,Central,BR113,Urban
3114,France,Central,BR114,Urban
3115,France,North,BR115,Rural
3116,Canada,Central,BR116,Metro
3117,France,East,BR117,Rural
3118,India,East,BR118,Urban
3119,Germany,West,BR119,Urban
3120,Canada,East,BR120,Rural
3121,Germany,North,BR121,Urban
3122,UK,Central,BR122,Metro
3123,USA,North,BR123,Metro
3124,India,Central,BR124,Rural
3125,India,East,BR125,Urban
3126,India,East,BR126,Rural
3127,India,West,BR127,Metro
3128,Canada,East,BR128,Metro
3129,Canada,Central,BR129,Urban
3130,Canada,Central,BR130,Rural
3131,Canada,North,BR131,Urban
3132,Germany,North,BR132,Urban
3133,Canada,Central,BR133,Urban
3134,Germany,East,BR134,Metro
3135,India,East,BR135,Urban
3136,Canada,East,BR136,Metro
3137,UK,East,BR137,Urban
3138,USA,West,BR138,Rural
3139,USA,North,BR139,Rural
3140,India,East,BR140,Urban
3141,Canada,West,BR141,Metro
3142,Canada,West,BR142,Metro
3143,USA,North,BR143,Urban
3144,Canada,South,BR144,Metro
3145,USA,East,BR145,Metro
3146,France,South,BR146,Rural
3147,India,North,BR147,Rural
3148,Germany,North,BR148,Rural
3149,India,South,BR149,Metro
